"","loadingscomp1lag0"
"CP-HI01_AT",-90.4665985897724
"CP-HI01_BE",-5.28375370011725
"CP-HI01_BG",-4.13149401626136
"CP-HI01_CY",-3.18812306481559
"CP-HI01_CZ",-6.66756983436247
"CP-HI01_DE",-88.689515835651
"CP-HI01_DK",-4.21828629367221
"CP-HI01_EE",-6.01467855345498
"CP-HI01_EL",-3.87597959972694
"CP-HI01_ES",-4.79805476986108
"CP-HI01_FI",-175.79164017176
"CP-HI01_FR",-4.98257997889879
"CP-HI01_HR",-5.28415665239868
"CP-HI01_HU",-6.74919050554993
"CP-HI01_IE",-389.096761579853
"CP-HI01_IT",-4.93052651154514
"CP-HI01_LT",-6.42774587963442
"CP-HI01_LU",-3.83821128383667
"CP-HI01_LV",-6.21660519591483
"CP-HI01_MT",-51.3816016956518
"CP-HI01_NL",-4.72597022900346
"CP-HI01_PL",-5.23511697022352
"CP-HI01_PT",-7.87901092856182
"CP-HI01_RO",-4.37918258364217
"CP-HI01_SE",-5.3624389672126
"CP-HI01_SI",-5.86004143708291
"CP-HI01_SK",-6.12512891121049
"CP-HI02_AT",-0.913682653500815
"CP-HI02_BE",-0.801490571801038
"CP-HI02_BG",5.3721923807558
"CP-HI02_CY",-3.33301137651314
"CP-HI02_CZ",0.241249191994179
"CP-HI02_DE",-1.2663829812369
"CP-HI02_DK",0.350742965729572
"CP-HI02_EE",-0.1128912682485
"CP-HI02_EL",0.835437261319413
"CP-HI02_ES",-4.66092516123556
"CP-HI02_FI",0.121891742876221
"CP-HI02_FR",0.367202459450171
"CP-HI02_HR",7.73225375883383
"CP-HI02_HU",-1.48079024493959
"CP-HI02_IE",-1.98449108861452
"CP-HI02_IT",0.614760536260319
"CP-HI02_LT",-1.12055398747699
"CP-HI02_LU",-0.7640032663378
"CP-HI02_LV",-1.66503274315326
"CP-HI02_MT",144.634974561931
"CP-HI02_NL",2.07556177433122
"CP-HI02_PL",-1.96941556058046
"CP-HI02_PT",-1.58495017799145
"CP-HI02_RO",-0.578603054378355
"CP-HI02_SE",0.0461226643617431
"CP-HI02_SI",-33.1440651011251
"CP-HI02_SK",-2.46789611637162
"CP-HI03_AT",-3.3840282758745
"CP-HI03_BE",-4.17531294282213
"CP-HI03_BG",-9.01574081823221
"CP-HI03_CY",-5.17750514972372
"CP-HI03_CZ",-4.05943441507907
"CP-HI03_DE",-4.44234580736123
"CP-HI03_DK",-4.07682280774059
"CP-HI03_EE",-4.34216954709699
"CP-HI03_EL",-6.04079619653874
"CP-HI03_ES",0.760968162876794
"CP-HI03_FI",-7.56063637350966
"CP-HI03_FR",-4.45768740250494
"CP-HI03_HR",-5.14771168162138
"CP-HI03_HU",-5.4680137791149
"CP-HI03_IE",-2.35804444882591
"CP-HI03_IT",-1.50878730959346
"CP-HI03_LT",-3.93141204004443
"CP-HI03_LU",-1.27568579091204
"CP-HI03_LV",-2.18100021687969
"CP-HI03_MT",-2.00643510427195
"CP-HI03_NL",-8.67965887992061
"CP-HI03_PL",-3.94758378411016
"CP-HI03_PT",-3.34702510554899
"CP-HI03_RO",-1.39427283927433
"CP-HI03_SE",-0.797515433977386
"CP-HI03_SI",-3.02912822541641
"CP-HI03_SK",-4.05758724946433
"CP-HI04_AT",-84.0828694094974
"CP-HI04_BE",17.9300940100875
"CP-HI04_BG",-55.1978420849177
"CP-HI04_CY",-156.451662466214
"CP-HI04_CZ",-3.2481906642092
"CP-HI04_DE",-104.955805456315
"CP-HI04_DK",-69.9005436807738
"CP-HI04_EE",-119.599502780628
"CP-HI04_EL",-168.845274462195
"CP-HI04_ES",-0.16176439848378
"CP-HI04_FI",13.9952726388255
"CP-HI04_FR",-3.58488739590172
"CP-HI04_HR",-182.251874738837
"CP-HI04_HU",-155.577415920055
"CP-HI04_IE",-45.8927335429106
"CP-HI04_IT",-123.071400572389
"CP-HI04_LT",-144.018328852177
"CP-HI04_LU",-53.0071689118058
"CP-HI04_LV",-113.680470923971
"CP-HI04_MT",-147.083113891374
"CP-HI04_NL",-21.0340101113135
"CP-HI04_PL",-100.934934905527
"CP-HI04_PT",-66.0095580777615
"CP-HI04_RO",-61.4804240283337
"CP-HI04_SE",21.2231105459031
"CP-HI04_SI",-90.1313906026482
"CP-HI04_SK",-150.910378161453
"CP-HI05_AT",-5.03966957492717
"CP-HI05_BE",-3.48725998027715
"CP-HI05_BG",-168.237341937148
